sweep,point_index,multiplier,task_arrival_rate_bits_per_gu_slot,task_arrival_rate_mbit_per_gu_slot,b_acc_hz,b_acc_mhz,b_backhaul_per_sat_hz,b_backhaul_per_sat_mhz,sat_cpu_freq_hz,sat_cpu_freq_gbps_equiv,method_id,paper_label,method_family,n_rows,n_training_seeds,n_eval_seed_bases,episodes_per_eval_seed_base,total_episodes,reward_sum_mean,reward_sum_std,processed_ratio_eval_mean,processed_ratio_eval_std,drop_ratio_eval_mean,drop_ratio_eval_std,pre_backlog_steps_eval_mean,pre_backlog_steps_eval_std,D_sys_report_mean,D_sys_report_std,queue_total_mean_mean,queue_total_mean_std,collision_episode_fraction_mean,collision_episode_fraction_std,sat_overlap_eval_mean,sat_overlap_eval_std,episode_length_mean,episode_length_std,arrival_step_mean_mean,arrival_step_mean_std,outflow_arrival_ratio_mean,outflow_arrival_ratio_std
load,7,2.00,4000000.0,4.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,38.609485289819226,0.40745893659627824,0.5552995787390973,0.006137493466800107,0.4144161495899223,0.006389959784656269,6.70361372899202,0.13796468786428026,13.562386274741963,0.5974906589083957,536289092.08925,11037174.813262777,0.0,0.0,0.9552013913604119,0.001212113879174212,250.0,0.0,80000014.6265,60.80657416102916,0.5619014426461493,0.005985188044439901
load,7,2.00,4000000.0,4.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,queue_aware_bw,QBS,fixed,3,0,3,64.0,192,31.996055331624422,0.38471892983178957,0.26731852908133685,0.013361612124497843,0.6748050913995502,0.017271527931579538,10.97614207123717,0.24298682062303262,44.53298196140801,3.4539839984838805,878091355.4600835,19438945.281319335,0.005208333333333333,0.009021097956087902,1.0,0.0,248.703125,2.246253391065888,79999961.50066666,152.00004667020727,0.29481669158593077,0.012036197635777497
load,7,2.00,4000000.0,4.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,static_uniform,Uniform,fixed,3,0,3,64.0,192,32.35287099669222,0.4050958536756109,0.27275254586509734,0.010997386798104093,0.6864089812143824,0.015458920710871031,8.493754279297464,0.22477999362884155,38.12397955710938,3.854577063136013,679500334.2157499,17982399.35026782,0.005208333333333333,0.009021097956087902,0.48287848269101225,0.001331718320960347,248.703125,2.246253391065888,79999961.50066666,152.00004667020727,0.2733604877891094,0.01084986788464098
resource,1,0.50,2000000.0,2.0,1000000.0,1.0,5000000.0,5.0,25000000000.0,25.0,relcritic,STARS,learned,9,3,3,64.0,576,36.77543696969386,0.3142870311763598,0.627828296668956,0.011994206151309838,0.32018427668872135,0.009530355885564277,11.220739868899138,0.4155870762199216,22.484461306291664,2.441201306603742,449173201.44062585,16922388.54658551,0.006944444444444444,0.01135129933213717,0.6318269894045584,0.12426519450030919,248.63541666666666,2.123549022089848,39999986.1292783,81.84662289653429,0.6324352392499667,0.011692473015491518
resource,1,0.50,2000000.0,2.0,1000000.0,1.0,5000000.0,5.0,25000000000.0,25.0,globalcritic,STARS-GC,learned,9,3,3,64.0,576,35.28452226696148,1.3779676111635122,0.5460526587651211,0.062229993458515515,0.3988660141612155,0.055487448538182126,12.215781099796011,0.9625540809554096,26.135041866399888,5.191666899597792,488648687.96261996,38516749.840185165,0.013888888888888888,0.01221462437454018,0.806628084887694,0.18240455295070918,248.16840277777777,2.0330337387081636,39999998.59457236,64.58295016935273,0.5463935876795466,0.06222865143013305
resource,1,0.50,2000000.0,2.0,1000000.0,1.0,5000000.0,5.0,25000000000.0,25.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,36.25822711623429,0.07708608857268982,0.6313121160323886,0.0021346422668564093,0.3204849145456839,0.001966102602795316,11.444363331026087,0.17964190199958624,20.273565341397497,0.33983353610841655,457775494.64581245,7186106.903258244,0.005208333333333333,0.009021097956087902,0.838645838474855,0.01727332058207797,248.95833333333334,1.8042195912175805,40000011.265083335,41.87003494915618,0.6313762136545301,0.002144492905381545
resource,1,0.50,2000000.0,2.0,1000000.0,1.0,5000000.0,5.0,25000000000.0,25.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,35.17283915282072,0.2811279576272851,0.5927139035781536,0.005428119908176695,0.35524369483005375,0.005086204743876257,12.582069977926091,0.252686254834559,23.55704521754446,1.0892709319352831,503282793.21085423,10107450.079825027,0.0,0.0,0.9981319445557892,0.0011040355658322456,250.0,0.0,40000010.617416665,42.966102660487735,0.5927137665291076,0.005428211512010817
resource,1,0.50,2000000.0,2.0,1000000.0,1.0,5000000.0,5.0,25000000000.0,25.0,queue_aware_bw,QBS,fixed,3,0,3,64.0,192,29.851645934356686,0.3568948503038669,0.2911995482810695,0.014951761374458028,0.6132802221626645,0.015209675330151814,18.521834087878464,0.5481005982940637,70.93631314193705,7.254731860562369,740873402.6566459,21923954.54248237,0.005208333333333333,0.009021097956087902,1.0,0.0,248.703125,2.246253391065888,39999973.05016667,107.45483522033899,0.30575243645580474,0.012980453717388082
resource,1,0.50,2000000.0,2.0,1000000.0,1.0,5000000.0,5.0,25000000000.0,25.0,static_uniform,Uniform,fixed,3,0,3,64.0,192,30.095088789006695,0.3624129377692022,0.2881775109334848,0.01215891145511788,0.630987084712228,0.015054251836955667,16.75129250106588,0.4225318580205414,68.81756152469788,6.539577913261606,670051751.5118126,16901244.98341912,0.005208333333333333,0.009021097956087902,0.48287848269101225,0.001331718320960347,248.703125,2.246253391065888,39999973.05016667,107.45483522033899,0.2882231976369008,0.012161740034442387
resource,2,0.75,2000000.0,2.0,1500000.0,1.5,7500000.0,7.5,37500000000.0,37.5,relcritic,STARS,learned,9,3,3,64.0,576,42.60953479583582,0.40223717135501064,0.8073320629256264,0.012010441097053844,0.16107399623178237,0.009944300164180997,7.494421348034251,0.41034573666944046,11.82133070302255,1.1296858886886731,299786855.5490131,16421131.934956014,0.005208333333333333,0.0078125,0.5706561294419366,0.06479639345782164,248.91319444444446,1.719142553025062,39999985.44277824,81.20726707917883,0.8094784861543889,0.012159316368374397
