update,checkpoint_suffix,episodes,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,fixed_reward_sum,fixed_bw_weighted_workload_delta_sum,fixed_bw_weighted_workload_level_sum,fixed_processed_ratio_eval,fixed_drop_ratio_eval,fixed_pre_backlog_steps_eval,fixed_D_sys_report,fixed_x_acc_mean,fixed_x_rel_mean,fixed_g_pre_mean,fixed_d_pre_mean,fixed_sat_overlap_eval,fixed_collision_episode_fraction,processed_improved,drop_improved,pre_backlog_improved,model_improved,quality_worsened,quality_worse_streak,reward_improved,reward_plateau_streak,collision_gate_passed,quality_early_stop_triggered,reward_early_stop_triggered,early_stop_triggered,method,training_seed,run_label
275,u0275,32.0,23.99091931094881,2891.80622876063,-58282732.813123345,0.2582865223624103,0.6634268420412361,15.978345235298155,101.70945579113716,0.2611192973829165,0.2582865223624103,0.0782891031312703,0.6634268420412361,0.5720608948161827,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
300,u0300,32.0,24.8603808170883,2889.1847675964236,-50609263.990611225,0.2356921606702963,0.6886895590856873,16.364958517435937,112.53925783797352,0.2379866958623752,0.2356921606702963,0.0756205057026529,0.6886895590856873,0.5542708539515734,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
325,u0325,32.0,24.415081400074996,3005.295489624142,-22846306.266371787,0.2414592204458174,0.6767812567360083,16.11706924581685,121.15950003019948,0.2437417116827647,0.2414592204458174,0.0817622511006327,0.6767812567360083,0.5647538960077467,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
350,u0350,32.0,24.1447138027288,3009.993337489665,-13363428.760915846,0.2421214323457417,0.6629097340604457,16.606845167639015,120.97859588085112,0.2461925117974081,0.2421214323457417,0.0949707050078771,0.6629097340604457,0.6169465590632467,0.125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
375,u0375,32.0,25.919834091095257,3389.745450027287,-6642853.21221748,0.2318784318891687,0.6923774393309581,17.544158371568866,142.54836759948475,0.2330724344878433,0.2318784318891687,0.0757464339259413,0.6923774393309581,0.680811493479051,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
25,u0025,32.0,25.86950824293308,3273.863872617483,-4056326.8896996975,0.3777802995463783,0.5281489101769157,15.446540987086664,64.68518047423424,0.37990843959006,0.3777802995463783,0.0940723130951171,0.5281489101769157,0.9090343550423357,0.15625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
50,u0050,32.0,26.732844426762313,3209.7721618562937,-4423528.6648682505,0.3418071607431556,0.5837128160035846,15.21603140927351,74.15811749924747,0.342450182459667,0.3418071607431556,0.07448163800946,0.5837128160035846,0.8677032725326664,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
75,u0075,32.0,26.82295819511637,3212.862474016845,-2549654.3585172,0.2691653267645742,0.6562671925089308,15.857908586408945,106.93513671774792,0.2693123950699809,0.2691653267645742,0.0745703997534524,0.6562671925089308,0.7546979387775066,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
100,u0100,32.0,26.217050291132185,3156.739666517824,-2173352.345760435,0.2614186657672704,0.6565056596485476,16.105418958407338,113.4947060296604,0.2614386691861191,0.2614186657672704,0.0820773529265409,0.6565056596485476,0.7165851226961697,0.09375,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
125,u0125,32.0,25.377488166326657,2728.1973600685596,-6638299.9818017185,0.247292219366816,0.6652411516994119,16.019455010963156,124.50249484590852,0.2472922167632596,0.247292219366816,0.0874697224338424,0.6652411516994119,0.7548261710427832,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
150,u0150,32.0,23.38318059593439,2378.315284062177,-11544116.50246404,0.248298424686638,0.6512545212003481,15.94824260266042,127.72725341613514,0.2485304835386779,0.248298424686638,0.1004509627762961,0.6512545212003481,0.8038007250840953,0.125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
175,u0175,32.0,25.40917990054004,2593.5340312495828,-12480533.41510208,0.2342983293042052,0.6852877530914848,16.7452584079504,148.07552002651428,0.2342983308919938,0.2342983293042052,0.0804161460910005,0.6852877530914848,0.7218020999617873,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
